Item_ID	Prefix	Noun	Verb	Habitual	Sentence	Context
337:4	money	money	seems	money	money seems *-1 to be too big of an issue. with, with, with, with what *t*-2's going on today	###yeah.###just because they're grandparents that doesn't automatically make them a good child carer.###speakera147.###yeah.###but, uh, i, i, i think that, you know, we always, uh, i mean, i've, i've had a lot of good experiences with, uh, with many many people especially where they've had, uh, extended family *t*-1.### and i, and i, i kind of see that, that, you know, perhaps, you know, we may need *-1 to like get close to the family environment and and get down to the values of, you know,###speakerb148.###uh-huh.###speakera149.###i mean, uh, it's,
496:6	their attire	attire	is	attire	their attire is always the same, you know.	###speakera39.###yeah.###speakerb40.###and sometimes i wear a blazer with them,###and i get really a lot of compliments on them.###um, where i work *t*-1 is predominantly male.###speakera41.###yeah.###speakerb42.###so, you know, they,
529:8	my wardrobe	wardrobe	has	wardrobe	so my wardrobe has changed quite a bit.	###speakera51.###oh, yeah.###it'll be comfortable.###speakerb52.###yeah.###yeah.###so,###speakera53.###i guess 0 down here, uh,###we just recently moved to texas,
583:4	everybody	everybody	does	everybody	everybody doesn't have cabin fever today.	###uh-huh.###speakera73.###speakerb74.###yeah,###we're still pretty much, you know, in winter, as far as that goes here.###speakera75.###this is pretty un-, unseasonal,###but, uh, at least, we,###you know, it, it, it feels good,###it gets, uh,
668:78	somebody	somebody	tells	somebody	and i, i, i tend *-1 to, i think 0 *t*-3, overreact occasionally when somebody tells me 0 it's that great *t*-2.	###that's true.###speakera21.###speakerb22.###i agree with that.###um, i, i noticed yesterday in the paper, something 0 *t*-1 said that it,###i think 0 it's been nominated *-1 for twelve awards### and, and all the critics initially said that, you know, it wouldn't go anywhere, that it was just going *-1 to be a dud.###so, it, it has surprised everybody.###speakera23.###well, the interesting thing was is 0 i had heard that,
669:38	the thing	thing	is	thing	and, and it was, the thing is, 0 it was, it was a good story.	###speakera21.###speakerb22.###i agree with that.###um, i, i noticed yesterday in the paper, something 0 *t*-1 said that it,###i think 0 it's been nominated *-1 for twelve awards### and, and all the critics initially said that, you know, it wouldn't go anywhere, that it was just going *-1 to be a dud.###so, it, it has surprised everybody.###speakera23.###well, the interesting thing was is 0 i had heard that,###and i, i, i tend *-1 to, i think 0 *t*-3, overreact occasionally when somebody tells me 0 it's that great *t*-2.
755:135	the question	question	is	question	the, the difficulty with, with dancing with wolves is that when you make a movie like that *t*-2, and you produce it *t*-2, and then you star in it *t*-2, uh, the question is, did he, did he really know 0 it was going *-1 to be good	###it's interesting.###you listen to him###and then you, you go *-1 watch the movie.###in fact, they had, people had just seen,###i was listening sunday night a little bit when, i was going *-1 to pick up my daughter *t*-2.###speakerb48.###uh-huh.###speakera49.###but, anyway, it was, uh, the,### it, it's interesting, though,
780:22	that guy	guy	is	guy	i don't know who that guy is *t*-1.	###do you know who the guy *ich*-3 was *t*-2 that *t*-1 was playing the, uh, the, the wagon driver?###speakerb52.###um.###speakera53.###a little piece of trivia.###you know, the guy when he first headed out from the army post *t*-1.###speakerb54.###yeah.###who,###no
830:24	this conversation	conversation	is	conversation	i don't know how long this conversation is supposed *-1 to go *t*-2	###yeah.###real scruffy looking,###speakerb72.###speakera73.###and it wa-, it *exp*-2 was really funny, it's, uh, that, that he winds up *-1 playing in the movie.###but i thought, 0 it *exp*-1's good that, you know,###it was a lot of fun.###speakerb74.###yeah.###speakera75.
850:23	the conversation	conversation	is	conversation	but it says 0 when the conversation is over *t*-1 * just say your good-byes and hang up.	###speakera77.###well, i don't know.###speakerb78.###speakera79.###why do we end this thing *t*-1?###speakerb80.### it used * to, it used *-1 to just automatically cut off###speakera81.###i think 0 it just says * hang up.###speakerb82.
